,log2FC,pvalue,-log10p
AL049555.1,3.7704745657487027,4.727810950600957e-246,245.32533989776815
FAM83B,3.1710120931717745,8.596339569317814e-238,237.06568643750722
AUNIP,1.6917225803984368,7.519748303107804e-225,224.12379669563185
CASC9,3.3163526570966915,1.6635366105600653e-218,217.77896763688156
KCNMB2-AS1,2.789324340775524,6.702662848059327e-214,213.1737526255876
TFAP2A,2.773875909243102,3.2777984546866617e-205,204.48441775384924
BBOX1-AS1,2.6087629073917813,3.3140457844029457e-205,204.47964149598423
TICRR,1.7048871695475432,1.1899704290562079e-200,199.92446383075645
B4GALNT4,3.0265287000128245,1.5560979329729238e-192,191.80796307417708
GNGT1,1.345672040053085,1.9547462730790428e-191,190.70890960622356
CALML3,6.659322011994193,2.890128859254112e-186,185.5390827933627
EME1,1.6716277002088706,6.551477458179846e-185,184.1836607489276
E2F7,1.8705400246338695,4.908565016193109e-184,183.30904545220187
GRHL3,3.084792392200175,6.6286933340937224e-180,179.17857207245805
NXPH4,3.8380512824904622,3.942154114070843e-179,178.40426640147155
EFNA3,2.375395383867542,3.3429997565089916e-177,176.47586365503975
DQX1,1.962068101049288,4.1050987967420933e-172,171.3866763863244
POLQ,1.5495665066688598,7.899159732853249e-172,171.1024191039999
SFTPC,-5.915918109426981,1.360408029855992e-171,170.8663308132934
HOXA10,1.683561470857902,1.7959775048983427e-169,168.74569910728994
ERCC6L,1.5002824075033823,2.2787008731402482e-166,165.64231268125704
PRAME,4.3550090214628625,4.746358143283588e-166,165.32363949456717
FAM83F,1.907170370518224,5.922491298601621e-165,164.2274955686756
GJB6,5.6116509209162135,6.024696104970901e-165,164.22006485468881
ARTN,2.985356509072926,5.162150340858707e-164,163.28716935135074
DSG3,5.914188505296608,5.183765002507441e-162,161.28535469471993
C17orf53,2.0052412463479086,8.16278909206344e-162,161.08816142453895
AC010168.1,1.5368474685057747,6.918989115200643e-161,160.15995735261836
LINC01980,2.7036876523669884,2.9284369361038584e-160,159.533364124068
AC106900.2,1.3703682681697045,3.274338999491367e-160,159.484876359137
GPR87,4.8171842217344345,2.780937922447483e-159,158.55580870557648
DLX5,3.5462074868982483,3.468925044049227e-159,158.4598050842189
GABRA3,1.7475690855434893,1.4840639180552048e-158,157.82854739375992
DUSP9,2.4925316025773054,6.179448243747934e-157,156.2090503008648
SAPCD2,2.8984269533955302,2.411127903362659e-156,155.61777975094512
F12,1.909020802822707,9.617867261219343e-156,155.01692122103614
AP003390.1,1.8475414061743594,1.7747556539143355e-155,154.75086143160127
LINC01748,1.3716914629311157,8.852856798041492e-154,153.0529165607802
WDR72,2.791352166713181,1.376857504186278e-152,151.86111100407703
LINC00958,3.2299492243934917,3.2162555698393663e-152,151.4926494486795
FOXE1,4.473969347216777,3.2166909605698765e-152,151.49259066137537
PITX1,4.583534354823739,4.533402642669277e-152,151.34357570654825
C12orf56,1.2011444024923443,1.4168608564462392e-151,150.84867279777282
FAT2,3.4556144021700086,4.354619044432277e-151,150.36104983242154
AC022031.2,1.3912765554801854,6.98157944293075e-151,150.15604631580766
AC013652.1,0.8883792563648583,9.276505577025112e-151,150.03261558999
LINC00491,1.3689633647941517,1.870926198315058e-150,149.72794334360458
IGF2BP3,2.0107907094404176,2.971953669472844e-150,149.5269579651837
AC093895.1,1.240588100391432,5.996643364784506e-150,149.2220917789614
MIR4713HG,0.9070548567867804,6.19995092938658e-149,148.207611747789
AC007128.1,0.856894296955273,3.80209844903983e-148,147.41997664198894
XRCC2,1.7001440007785236,3.1672443874395244e-147,146.49931842478043
BTBD11,1.9043298950524983,1.1127376818494929e-146,145.9536072047151
POU6F2-AS2,1.4724730551185798,2.6177687221814647e-146,145.5820687256681
SOX15,3.577648722314401,2.633617379762049e-144,143.57944732046317
CERS3,2.725416591600306,2.685586559511206e-144,143.57096084525747
CKMT1B,1.7818209296989276,7.720862583693962e-144,143.1123341770721
AC010275.1,1.7687179237049933,9.248887347108659e-144,143.03391051029618
PPP2R2C,2.4351463888247733,2.837659209429331e-143,142.54703976263164
CENPI,1.49719674302621,4.658440201038479e-143,142.33175947504373
LINC00519,2.9332451678249365,1.9165160362108647e-142,141.71748754248907
NAPSA,-3.58869633798873,2.3836425128318564e-142,141.62275887743266
AC131532.1,1.7876290541604438,1.9405574908084782e-141,140.71207348635812
AL512363.1,1.9682702241526788,4.256625752133105e-141,140.37093453185912
KLC3,1.940239005748739,1.3346503867923724e-140,139.87463248334197
WDR62,1.5113692685202027,4.232952671923738e-140,139.37335658728722
HOXC13,1.8044410553173,2.2334711905259324e-139,138.65101964510677
NEIL3,1.4775071375749624,1.986235392332557e-138,137.70196928376956
ECE2,2.3215765496133987,3.388777804714484e-137,136.4699569060372
ABCA12,1.9030026178185153,4.2863013469520975e-137,136.36791729929564
SFTPA1,-4.442733651538271,4.534780777364477e-137,136.34344370297703
AL583808.1,1.5574238665624587,1.001083041441201e-136,135.99952989560376
FAM131C,0.985333229073967,1.5019884087558095e-136,135.823333418885
DAPL1,4.996491970934402,1.509733614783508e-136,135.8210996751144
OGFRP1,0.8444204796291592,4.093692245650226e-136,135.3878848097047
PTHLH,5.338801960615724,7.560082175938427e-136,135.1214734838159
RAET1L,3.139338841815527,8.12535976507563e-136,135.09015740074562
AC022075.1,2.1060339152260523,4.310316980323713e-135,134.36549079068766
AC007128.2,0.6590876675187095,6.392979033706127e-135,134.19429671986782
DLX6,1.8837404556172335,1.1506057292024365e-134,133.9390734678259
PNCK,2.580812964079527,2.96826043165995e-134,133.52749799723705
LINC02163,1.0662423275446853,6.205181893209553e-134,133.20724548345464
TMEM171,1.5652714431504118,4.2004333270095633e-131,130.37670590440646
GINS4,1.630648390630901,5.018211828156148e-131,130.29945101024788
SERPINB5,5.314446519724919,6.914920184210912e-131,130.1602128283901
TEDC2,1.9371340224123235,1.1891704080512196e-130,129.92475590654746
CAPNS2,4.1119344933929245,1.502953324592653e-130,129.8230545065632
GJB3,3.822205302898208,2.975477475429461e-130,129.52644333302604
RNU6-140P,3.6032497116375075,3.291909276159839e-130,129.48255214229516
BMP7,3.272485253291564,6.271537399686083e-130,129.20262598351448
LINC02428,1.0480733147160557,2.025516382760845e-129,128.69346423981
KIF14,1.6954172631181244,5.618843114941513e-129,128.2503530937756
CKMT1A,1.5361965948958611,7.365711047620942e-129,128.13278532225618
LINC01572,0.31698101078193497,7.954035415226638e-129,128.09941247965588
SLC25A5P5,0.8981897129447901,8.781505340224337e-129,128.05643103023112
RAD54L,2.2908847219204405,1.4827474017180404e-128,127.82893282832684
HAGLROS,1.688958052987389,1.920891850705013e-127,126.71649708592655
CHRNA5,0.9892467006463934,4.8836174620866545e-127,126.31125836205136
LYPD3,5.014786297194614,6.1084845524696584e-127,126.21406652005749
EXO1,2.2372060244306837,7.23567068734561e-127,126.14052120714157
